,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,200.0,200.0,600.0,635.1976700286359,800.0
00:15,0.0,200.0,200.0,600.0,634.4671254695697,800.0
00:30,0.0,200.0,200.0,600.0,634.1687510332991,800.0
00:45,0.0,200.0,200.0,600.0,635.1166098503178,800.0
01:00,0.0,200.0,200.0,600.0,633.6766555907218,800.0
01:15,0.0,200.0,200.0,600.0,635.0722919892663,800.0
01:30,0.0,200.0,200.0,600.0,670.718684100581,800.0
01:45,0.0,200.0,200.0,600.0,691.5941625559733,800.0
02:00,0.0,200.0,200.0,600.0,647.1540939514401,800.0
02:15,0.0,200.0,200.0,600.0,701.5004361701216,800.0
02:30,0.0,200.0,200.0,600.0,654.531075091932,800.0
02:45,0.0,200.0,200.0,600.0,634.6386790605322,800.0
03:00,0.0,200.0,200.0,600.0,633.4483554830756,800.0
03:15,0.0,200.0,200.0,600.0,634.194879524144,800.0
03:30,0.0,200.0,200.0,600.0,699.1439644105697,800.0
03:45,0.0,200.0,200.0,600.0,664.1060762415933,800.0
04:00,0.0,200.0,200.0,600.0,633.1300493825638,800.0
04:15,0.0,200.0,200.0,600.0,633.4871343049663,800.0
04:30,0.0,200.0,200.0,600.0,632.9879412231915,800.0
04:45,0.0,200.0,200.0,600.0,631.7083143191977,800.0
05:00,0.0,200.0,200.0,600.0,692.2292960576463,800.0
05:15,0.0,200.0,200.0,600.0,665.7235456764002,800.0
05:30,0.0,200.0,200.0,600.0,628.1215241432396,800.0
05:45,0.0,200.0,200.0,600.0,627.4346374663616,800.0
06:00,0.0,200.0,200.0,600.0,649.7394642317471,800.0
06:15,0.0,200.0,200.0,600.0,678.648210391682,800.0
06:30,0.0,200.0,200.0,600.0,747.8996045672834,800.0
06:45,0.0,200.0,200.0,600.0,616.6607676839471,800.0
07:00,0.0,200.0,200.0,600.0,611.0435394631476,800.0
07:15,0.0,200.0,200.0,600.0,603.182526328439,800.0
07:30,0.0,200.0,200.0,600.0,657.2053221689883,800.0
07:45,0.0,200.0,200.0,600.0,650.0954505219261,800.0
08:00,0.0,200.0,200.0,600.0,617.2101307153905,800.0
08:15,0.0,200.0,200.0,600.0,622.0364206295505,800.0
08:30,0.0,200.0,200.0,600.0,640.5263458984963,800.0
08:45,0.0,200.0,200.0,600.0,641.764412954888,800.0
09:00,582.8493093626798,0.0,200.0,600.0,0.0,600.0
09:15,1000.5841870401528,0.0,200.0,600.0,0.0,400.0
09:30,674.5428347801933,0.0,200.0,600.0,0.0,200.0
09:45,532.5556262026843,0.0,200.0,600.0,0.0,0.0
10:00,0.0,200.0,0.0,600.0,846.5923413663592,200.0
10:15,0.0,200.0,200.0,600.0,676.7141716895538,200.0
10:30,0.0,0.0,200.0,600.0,452.72047344705345,0.0
10:45,0.0,0.0,0.0,600.0,1250.2714497462894,0.0
11:00,0.0,200.0,0.0,600.0,865.4643828991477,200.0
11:15,0.0,200.0,200.0,600.0,1110.6323253708395,200.0
11:30,0.0,0.0,200.0,600.0,1596.3953684222815,0.0
11:45,0.0,0.0,0.0,600.0,690.9914314431854,0.0
12:00,0.0,200.0,0.0,600.0,989.0648232006633,200.0
12:15,0.0,200.0,200.0,600.0,1009.1708817018407,200.0
12:30,0.0,0.0,200.0,600.0,798.8490544037827,0.0
12:45,0.0,0.0,0.0,600.0,1068.4809047381807,0.0
13:00,0.0,200.0,0.0,600.0,1198.3947242817367,200.0
13:15,0.0,200.0,200.0,600.0,754.683235366813,200.0
13:30,0.0,200.0,200.0,600.0,772.7060443292622,200.0
13:45,0.0,200.0,200.0,600.0,719.0085142308938,200.0
14:00,0.0,0.0,200.0,600.0,1172.8807889004515,0.0
14:15,0.0,0.0,0.0,600.0,716.7718682973765,0.0
14:30,0.0,0.0,0.0,600.0,711.0635788237786,0.0
14:45,0.0,200.0,0.0,600.0,961.7590656696636,200.0
15:00,0.0,0.0,200.0,600.0,412.07897611831413,0.0
