,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,200.0,200.0,600.0,746.5976700286359,800.0
00:15,0.0,200.0,200.0,600.0,761.5671254695698,800.0
00:30,0.0,200.0,200.0,600.0,700.5687510332991,800.0
00:45,0.0,200.0,200.0,600.0,754.3166098503177,800.0
01:00,0.0,200.0,200.0,600.0,647.6766555907218,800.0
01:15,0.0,200.0,200.0,600.0,687.1722919892662,800.0
01:30,0.0,200.0,200.0,600.0,636.418684100581,800.0
01:45,0.0,200.0,200.0,600.0,638.7941625559733,800.0
02:00,0.0,200.0,200.0,600.0,670.7540939514402,800.0
02:15,0.0,200.0,200.0,600.0,680.5004361701216,800.0
02:30,0.0,200.0,200.0,600.0,664.7310750919321,800.0
02:45,0.0,200.0,200.0,600.0,635.6386790605322,800.0
03:00,0.0,200.0,200.0,600.0,667.8483554830756,800.0
03:15,0.0,200.0,200.0,600.0,632.594879524144,800.0
03:30,0.0,200.0,200.0,600.0,668.1439644105697,800.0
03:45,0.0,200.0,200.0,600.0,674.8060762415934,800.0
04:00,0.0,200.0,200.0,600.0,628.3300493825639,800.0
04:15,0.0,200.0,200.0,600.0,628.6871343049662,800.0
04:30,0.0,200.0,200.0,600.0,643.3879412231914,800.0
04:45,0.0,200.0,200.0,600.0,711.1083143191977,800.0
05:00,0.0,200.0,200.0,600.0,652.2292960576463,800.0
05:15,0.0,200.0,200.0,600.0,624.0235456764003,800.0
05:30,0.0,200.0,200.0,600.0,618.3215241432397,800.0
05:45,0.0,200.0,200.0,600.0,655.6346374663616,800.0
06:00,0.0,200.0,200.0,600.0,623.5394642317472,800.0
06:15,0.0,200.0,200.0,600.0,651.748210391682,800.0
06:30,0.0,200.0,200.0,600.0,610.4996045672833,800.0
06:45,0.0,200.0,200.0,600.0,596.8607676839471,800.0
07:00,0.0,200.0,200.0,600.0,623.0435394631476,800.0
07:15,0.0,200.0,200.0,600.0,574.7825263284391,800.0
07:30,0.0,200.0,200.0,600.0,656.3053221689884,800.0
07:45,0.0,200.0,200.0,600.0,701.1954505219261,800.0
08:00,0.0,200.0,200.0,600.0,663.9101307153906,800.0
08:15,0.0,200.0,200.0,600.0,658.4364206295505,800.0
08:30,0.0,200.0,200.0,600.0,677.9263458984963,800.0
08:45,0.0,200.0,200.0,600.0,736.764412954888,800.0
09:00,497.1493093626799,0.0,200.0,600.0,0.0,600.0
09:15,408.48418704015273,0.0,200.0,600.0,0.0,400.0
09:30,400.5428347801933,0.0,200.0,600.0,0.0,200.0
09:45,378.6556262026843,0.0,200.0,600.0,0.0,0.0
10:00,0.0,200.0,0.0,600.0,778.5923413663592,200.0
10:15,0.0,200.0,200.0,600.0,627.6141716895538,200.0
10:30,0.0,0.0,200.0,600.0,525.5204734470535,0.0
10:45,0.0,0.0,0.0,600.0,619.0714497462895,0.0
11:00,0.0,200.0,0.0,600.0,790.0643828991476,200.0
11:15,0.0,200.0,200.0,600.0,543.8323253708395,200.0
11:30,0.0,0.0,200.0,600.0,355.6953684222815,0.0
11:45,0.0,0.0,0.0,600.0,635.7914314431855,0.0
12:00,0.0,200.0,0.0,600.0,777.2648232006633,200.0
12:15,0.0,200.0,200.0,600.0,585.3708817018406,200.0
12:30,0.0,0.0,200.0,600.0,352.54905440378263,0.0
12:45,0.0,0.0,0.0,600.0,575.5809047381807,0.0
13:00,0.0,200.0,0.0,600.0,911.7947242817368,200.0
13:15,0.0,200.0,200.0,600.0,615.083235366813,200.0
13:30,0.0,200.0,200.0,600.0,525.9060443292622,200.0
13:45,0.0,200.0,200.0,600.0,787.1085142308938,200.0
14:00,0.0,0.0,200.0,600.0,339.2807889004514,0.0
14:15,0.0,0.0,0.0,600.0,595.6718682973765,0.0
14:30,0.0,0.0,0.0,600.0,599.1635788237785,0.0
14:45,0.0,200.0,0.0,600.0,763.2590656696636,200.0
15:00,0.0,0.0,200.0,600.0,385.8789761183141,0.0
15:15,0.0,200.0,0.0,600.0,795.3041268417802,200.0
15:30,0.0,200.0,200.0,600.0,641.414048981339,200.0
15:45,0.0,200.0,200.0,600.0,625.9497643590762,200.0
16:00,827.2082731542264,200.0,200.0,600.0,0.0,200.0
16:15,588.8112010271578,200.0,200.0,600.0,0.0,200.0
16:30,513.8482520775573,0.0,200.0,600.0,0.0,0.0
16:45,869.6894877546356,200.0,0.0,600.0,0.0,200.0
17:00,779.6896617555334,200.0,200.0,600.0,0.0,200.0
17:15,964.8536461797773,200.0,200.0,600.0,0.0,200.0
17:30,902.0943839305044,200.0,200.0,600.0,0.0,200.0
17:45,911.4532270003942,200.0,200.0,600.0,0.0,200.0
18:00,823.699168643447,200.0,200.0,600.0,0.0,200.0
18:15,613.3814716983946,0.0,200.0,600.0,0.0,0.0
18:30,958.3439346886861,0.0,0.0,600.0,0.0,0.0
18:45,1117.868841393486,0.0,0.0,600.0,0.0,0.0
19:00,1200.0,0.0,0.0,600.0,236.0836844968626,0.0
19:15,1200.0,0.0,0.0,600.0,41.807010811757664,0.0
19:30,1200.0,0.0,0.0,600.0,259.3191702710287,0.0
19:45,870.5042217772844,0.0,0.0,600.0,0.0,0.0
20:00,0.0,200.0,0.0,600.0,1126.5966207694742,200.0
20:15,0.0,200.0,200.0,600.0,917.7491096411529,200.0
20:30,0.0,0.0,200.0,600.0,713.1094981522053,0.0
20:45,0.0,0.0,0.0,600.0,979.8082943175716,0.0
21:00,0.0,200.0,0.0,600.0,1479.6423571718954,200.0
21:15,0.0,200.0,200.0,600.0,1074.4730896622416,200.0
21:30,0.0,0.0,200.0,600.0,817.4476729431342,0.0
21:45,0.0,0.0,0.0,600.0,1187.1392314009709,0.0
22:00,0.0,200.0,0.0,600.0,1600.3575199824709,200.0
22:15,0.0,0.0,200.0,600.0,729.0175362632591,0.0
22:30,0.0,0.0,0.0,600.0,974.2588380180034,0.0
22:45,0.0,0.0,0.0,600.0,796.2238672922437,0.0
23:00,0.0,200.0,0.0,600.0,1068.8797447540258,200.0
23:15,0.0,0.0,200.0,600.0,429.37721567014387,0.0
23:30,0.0,0.0,0.0,600.0,628.6263917597687,0.0
23:45,0.0,0.0,0.0,600.0,673.9789248445047,0.0
