,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,200.0,200.0,600.0,739.6976700286359,800.0
00:15,0.0,200.0,200.0,600.0,723.1671254695698,800.0
00:30,0.0,200.0,200.0,600.0,667.3687510332991,800.0
00:45,0.0,200.0,200.0,600.0,692.6166098503178,800.0
01:00,0.0,200.0,200.0,600.0,653.5766555907218,800.0
01:15,0.0,200.0,200.0,600.0,680.5722919892663,800.0
01:30,0.0,200.0,200.0,600.0,673.718684100581,800.0
01:45,0.0,200.0,200.0,600.0,637.9941625559734,800.0
02:00,0.0,200.0,200.0,600.0,655.7540939514402,800.0
02:15,0.0,200.0,200.0,600.0,728.0004361701216,800.0
02:30,0.0,200.0,200.0,600.0,705.3310750919321,800.0
02:45,0.0,200.0,200.0,600.0,643.5386790605322,800.0
03:00,0.0,200.0,200.0,600.0,630.5483554830755,800.0
03:15,0.0,200.0,200.0,600.0,631.194879524144,800.0
03:30,0.0,200.0,200.0,600.0,650.6439644105697,800.0
03:45,0.0,200.0,200.0,600.0,778.5060762415933,800.0
04:00,0.0,200.0,200.0,600.0,665.1300493825638,800.0
04:15,0.0,200.0,200.0,600.0,630.3871343049663,800.0
04:30,0.0,200.0,200.0,600.0,629.5879412231915,800.0
04:45,0.0,200.0,200.0,600.0,642.6083143191978,800.0
05:00,0.0,200.0,200.0,600.0,717.0292960576462,800.0
05:15,0.0,200.0,200.0,600.0,639.6235456764002,800.0
05:30,0.0,200.0,200.0,600.0,627.7215241432397,800.0
05:45,0.0,200.0,200.0,600.0,681.8346374663615,800.0
06:00,0.0,200.0,200.0,600.0,636.4394642317471,800.0
06:15,0.0,200.0,200.0,600.0,662.8482103916821,800.0
06:30,0.0,200.0,200.0,600.0,611.7996045672834,800.0
06:45,0.0,200.0,200.0,600.0,609.4607676839471,800.0
07:00,0.0,200.0,200.0,600.0,621.5435394631476,800.0
07:15,0.0,200.0,200.0,600.0,651.2825263284391,800.0
07:30,0.0,200.0,200.0,600.0,644.6053221689883,800.0
07:45,0.0,200.0,200.0,600.0,607.1954505219261,800.0
08:00,0.0,200.0,200.0,600.0,605.4101307153906,800.0
08:15,0.0,200.0,200.0,600.0,630.6364206295506,800.0
08:30,0.0,200.0,200.0,600.0,610.8263458984964,800.0
08:45,0.0,200.0,200.0,600.0,616.564412954888,800.0
09:00,479.2493093626798,0.0,200.0,600.0,0.0,600.0
09:15,410.8841870401527,0.0,200.0,600.0,0.0,400.0
09:30,404.44283478019327,0.0,200.0,600.0,0.0,200.0
09:45,375.1556262026843,0.0,200.0,600.0,0.0,0.0
