,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,200.0,200.0,600.0,643.5976700286359,800.0
00:15,0.0,200.0,200.0,600.0,652.4671254695697,800.0
00:30,0.0,200.0,200.0,600.0,629.9687510332991,800.0
00:45,0.0,200.0,200.0,600.0,647.4166098503177,800.0
01:00,0.0,200.0,200.0,600.0,721.6766555907218,800.0
01:15,0.0,200.0,200.0,600.0,652.7722919892663,800.0
01:30,0.0,200.0,200.0,600.0,659.1186841005809,800.0
01:45,0.0,200.0,200.0,600.0,651.5941625559733,800.0
02:00,0.0,200.0,200.0,600.0,701.2540939514402,800.0
02:15,0.0,200.0,200.0,600.0,746.6004361701216,800.0
02:30,0.0,200.0,200.0,600.0,663.6310750919321,800.0
02:45,0.0,200.0,200.0,600.0,633.3386790605322,800.0
03:00,0.0,200.0,200.0,600.0,672.0483554830755,800.0
03:15,0.0,200.0,200.0,600.0,707.794879524144,800.0
03:30,0.0,200.0,200.0,600.0,716.6439644105697,800.0
03:45,0.0,200.0,200.0,600.0,642.3060762415934,800.0
04:00,0.0,200.0,200.0,600.0,662.6300493825638,800.0
04:15,0.0,200.0,200.0,600.0,651.0871343049663,800.0
04:30,0.0,200.0,200.0,600.0,658.9879412231915,800.0
04:45,0.0,200.0,200.0,600.0,686.1083143191977,800.0
05:00,0.0,200.0,200.0,600.0,705.3292960576462,800.0
05:15,0.0,200.0,200.0,600.0,691.9235456764003,800.0
05:30,0.0,200.0,200.0,600.0,642.0215241432396,800.0
05:45,0.0,200.0,200.0,600.0,658.3346374663615,800.0
06:00,0.0,200.0,200.0,600.0,629.6394642317471,800.0
06:15,0.0,200.0,200.0,600.0,686.3482103916821,800.0
06:30,0.0,200.0,200.0,600.0,726.7996045672834,800.0
06:45,0.0,200.0,200.0,600.0,631.4607676839471,800.0
07:00,0.0,200.0,200.0,600.0,667.6435394631476,800.0
07:15,0.0,200.0,200.0,600.0,717.2825263284391,800.0
07:30,0.0,200.0,200.0,600.0,935.6053221689883,800.0
07:45,0.0,200.0,200.0,600.0,1407.9954505219262,800.0
08:00,0.0,200.0,200.0,600.0,663.2101307153905,800.0
