,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,200.0,200.0,600.0,651.2976700286359,800.0
00:15,0.0,200.0,200.0,600.0,693.8671254695697,800.0
00:30,0.0,200.0,200.0,600.0,654.0687510332991,800.0
00:45,0.0,200.0,200.0,600.0,655.2166098503178,800.0
01:00,0.0,200.0,200.0,600.0,689.0766555907218,800.0
01:15,0.0,200.0,200.0,600.0,668.1722919892662,800.0
01:30,0.0,200.0,200.0,600.0,682.218684100581,800.0
01:45,0.0,200.0,200.0,600.0,684.4941625559734,800.0
02:00,0.0,200.0,200.0,600.0,643.8540939514402,800.0
02:15,0.0,200.0,200.0,600.0,678.3004361701217,800.0
02:30,0.0,200.0,200.0,600.0,688.1310750919321,800.0
02:45,0.0,200.0,200.0,600.0,700.4386790605322,800.0
03:00,0.0,200.0,200.0,600.0,670.9483554830756,800.0
03:15,0.0,200.0,200.0,600.0,652.294879524144,800.0
03:30,0.0,200.0,200.0,600.0,688.7439644105696,800.0
03:45,0.0,200.0,200.0,600.0,699.0060762415933,800.0
04:00,0.0,200.0,200.0,600.0,700.4300493825638,800.0
04:15,0.0,200.0,200.0,600.0,661.4871343049663,800.0
04:30,0.0,200.0,200.0,600.0,632.4879412231915,800.0
04:45,0.0,200.0,200.0,600.0,671.0083143191978,800.0
05:00,0.0,200.0,200.0,600.0,672.5292960576462,800.0
05:15,0.0,200.0,200.0,600.0,664.9235456764003,800.0
05:30,0.0,200.0,200.0,600.0,642.8215241432397,800.0
05:45,0.0,200.0,200.0,600.0,650.3346374663615,800.0
06:00,0.0,200.0,200.0,600.0,689.3394642317471,800.0
06:15,0.0,200.0,200.0,600.0,628.548210391682,800.0
06:30,0.0,200.0,200.0,600.0,640.8996045672834,800.0
06:45,0.0,200.0,200.0,600.0,752.9607676839471,800.0
07:00,0.0,200.0,200.0,600.0,752.6435394631476,800.0
07:15,0.0,200.0,200.0,600.0,708.682526328439,800.0
07:30,0.0,200.0,200.0,600.0,710.2053221689883,800.0
07:45,0.0,200.0,200.0,600.0,653.2954505219261,800.0
08:00,0.0,200.0,200.0,600.0,566.1101307153905,800.0
08:15,0.0,200.0,200.0,600.0,567.1364206295506,800.0
08:30,0.0,200.0,200.0,600.0,604.6263458984963,800.0
08:45,0.0,200.0,200.0,600.0,614.764412954888,800.0
09:00,436.94930936267986,0.0,200.0,600.0,0.0,600.0
09:15,572.9841870401527,0.0,200.0,600.0,0.0,400.0
09:30,1117.3428347801932,0.0,200.0,600.0,0.0,200.0
09:45,1105.2556262026842,0.0,200.0,600.0,0.0,0.0
10:00,0.0,200.0,0.0,600.0,1692.4923413663591,200.0
10:15,0.0,200.0,200.0,0.0,1947.714171689554,200.0
10:30,0.0,0.0,200.0,600.0,1312.9204734470536,0.0
10:45,0.0,0.0,0.0,600.0,1319.1714497462895,0.0
