,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,200.0,200.0,600.0,743.0976700286359,800.0
00:15,0.0,200.0,200.0,600.0,855.0671254695698,800.0
00:30,0.0,200.0,200.0,600.0,945.468751033299,800.0
00:45,0.0,200.0,200.0,600.0,1145.316609850318,800.0
01:00,0.0,200.0,200.0,600.0,920.6766555907218,800.0
01:15,0.0,200.0,200.0,600.0,801.8722919892663,800.0
01:30,0.0,200.0,200.0,600.0,802.218684100581,800.0
01:45,0.0,200.0,200.0,600.0,701.0941625559733,800.0
02:00,0.0,200.0,200.0,600.0,683.4540939514402,800.0
02:15,0.0,200.0,200.0,600.0,661.8004361701217,800.0
02:30,0.0,200.0,200.0,600.0,663.3310750919321,800.0
02:45,0.0,200.0,200.0,600.0,643.5386790605322,800.0
03:00,0.0,200.0,200.0,600.0,630.5483554830755,800.0
03:15,0.0,200.0,200.0,600.0,692.894879524144,800.0
03:30,0.0,200.0,200.0,600.0,693.3439644105696,800.0
03:45,0.0,200.0,200.0,600.0,631.3060762415934,800.0
04:00,0.0,200.0,200.0,600.0,629.8300493825639,800.0
04:15,0.0,200.0,200.0,600.0,662.6871343049662,800.0
04:30,0.0,200.0,200.0,600.0,676.2879412231914,800.0
04:45,0.0,200.0,200.0,600.0,784.7083143191977,800.0
05:00,0.0,200.0,200.0,600.0,654.6292960576462,800.0
05:15,0.0,200.0,200.0,600.0,627.1235456764002,800.0
05:30,0.0,200.0,200.0,600.0,629.5215241432396,800.0
05:45,0.0,200.0,200.0,600.0,675.4346374663616,800.0
06:00,0.0,200.0,200.0,600.0,696.9394642317471,800.0
06:15,0.0,200.0,200.0,600.0,836.548210391682,800.0
06:30,0.0,200.0,200.0,600.0,905.7996045672833,800.0
06:45,0.0,200.0,200.0,600.0,745.6607676839471,800.0
07:00,0.0,200.0,200.0,600.0,729.2435394631475,800.0
07:15,0.0,200.0,200.0,600.0,739.9825263284391,800.0
07:30,0.0,200.0,200.0,600.0,1119.0053221689882,800.0
07:45,0.0,200.0,200.0,600.0,1513.8954505219263,800.0
08:00,0.0,200.0,200.0,600.0,1887.9101307153906,800.0
