,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,200.0,200.0,600.0,632.9976700286359,800.0
00:15,0.0,200.0,200.0,600.0,632.3671254695697,800.0
00:30,0.0,200.0,200.0,600.0,632.0687510332991,800.0
00:45,0.0,200.0,200.0,600.0,668.0166098503178,800.0
01:00,0.0,200.0,200.0,600.0,704.3766555907218,800.0
01:15,0.0,200.0,200.0,600.0,642.7722919892663,800.0
01:30,0.0,200.0,200.0,600.0,631.218684100581,800.0
01:45,0.0,200.0,200.0,600.0,632.7941625559733,800.0
02:00,0.0,200.0,200.0,600.0,675.3540939514402,800.0
02:15,0.0,200.0,200.0,600.0,681.9004361701216,800.0
02:30,0.0,200.0,200.0,600.0,662.6310750919321,800.0
02:45,0.0,200.0,200.0,600.0,632.4386790605322,800.0
03:00,0.0,200.0,200.0,600.0,635.1483554830755,800.0
03:15,0.0,200.0,200.0,600.0,706.994879524144,800.0
03:30,0.0,200.0,200.0,600.0,673.4439644105696,800.0
03:45,0.0,200.0,200.0,600.0,632.1060762415933,800.0
04:00,0.0,200.0,200.0,600.0,630.6300493825638,800.0
04:15,0.0,200.0,200.0,600.0,630.8871343049663,800.0
04:30,0.0,200.0,200.0,600.0,652.6879412231915,800.0
04:45,0.0,200.0,200.0,600.0,683.9083143191978,800.0
05:00,0.0,200.0,200.0,600.0,632.5292960576462,800.0
05:15,0.0,200.0,200.0,600.0,630.9235456764003,800.0
05:30,0.0,200.0,200.0,600.0,650.9215241432396,800.0
05:45,0.0,200.0,200.0,600.0,622.0346374663616,800.0
06:00,0.0,200.0,200.0,600.0,606.3394642317471,800.0
06:15,0.0,200.0,200.0,600.0,632.248210391682,800.0
06:30,0.0,200.0,200.0,600.0,659.2996045672834,800.0
06:45,0.0,200.0,200.0,600.0,602.0607676839471,800.0
07:00,0.0,200.0,200.0,600.0,591.5435394631476,800.0
07:15,0.0,200.0,200.0,600.0,600.3825263284391,800.0
07:30,0.0,200.0,200.0,600.0,586.7053221689883,800.0
07:45,0.0,200.0,200.0,600.0,628.9954505219262,800.0
08:00,0.0,200.0,200.0,600.0,629.9101307153906,800.0
08:15,0.0,200.0,200.0,600.0,578.7364206295506,800.0
08:30,0.0,200.0,200.0,600.0,606.8263458984964,800.0
08:45,0.0,200.0,200.0,600.0,590.864412954888,800.0
09:00,359.5493093626799,0.0,200.0,600.0,0.0,600.0
09:15,381.3841870401527,0.0,200.0,600.0,0.0,400.0
09:30,510.74283478019333,0.0,200.0,600.0,0.0,200.0
09:45,356.45562620268424,0.0,200.0,600.0,0.0,0.0
10:00,0.0,200.0,0.0,600.0,746.9923413663591,200.0
10:15,0.0,200.0,200.0,600.0,568.1141716895539,200.0
10:30,0.0,0.0,200.0,600.0,349.9204734470535,0.0
10:45,0.0,0.0,0.0,600.0,555.6714497462895,0.0
11:00,0.0,200.0,0.0,600.0,853.5643828991476,200.0
11:15,0.0,200.0,200.0,600.0,578.7323253708395,200.0
11:30,0.0,0.0,200.0,600.0,341.89536842228154,0.0
11:45,0.0,0.0,0.0,600.0,589.1914314431855,0.0
12:00,0.0,200.0,0.0,600.0,811.4648232006633,200.0
12:15,0.0,200.0,200.0,600.0,657.2708817018407,200.0
12:30,0.0,0.0,200.0,600.0,393.8490544037826,0.0
12:45,0.0,0.0,0.0,600.0,659.0809047381807,0.0
13:00,0.0,200.0,0.0,600.0,779.8947242817368,200.0
13:15,0.0,200.0,200.0,600.0,548.083235366813,200.0
13:30,0.0,200.0,200.0,600.0,672.7060443292622,200.0
13:45,0.0,200.0,200.0,600.0,787.8085142308938,200.0
14:00,0.0,0.0,200.0,600.0,470.3807889004514,0.0
14:15,0.0,0.0,0.0,600.0,682.0718682973766,0.0
14:30,0.0,0.0,0.0,600.0,684.5635788237786,0.0
14:45,0.0,200.0,0.0,600.0,887.1590656696636,200.0
15:00,0.0,0.0,200.0,600.0,420.3789761183141,0.0
15:15,0.0,200.0,0.0,600.0,812.5041268417802,200.0
15:30,0.0,200.0,200.0,600.0,605.014048981339,200.0
15:45,0.0,200.0,200.0,600.0,1206.7497643590764,200.0
16:00,650.4082731542264,200.0,200.0,600.0,0.0,200.0
16:15,697.1112010271578,200.0,200.0,600.0,0.0,200.0
16:30,601.8482520775573,0.0,200.0,600.0,0.0,0.0
16:45,1006.7894877546356,200.0,0.0,600.0,0.0,200.0
17:00,1200.0,200.0,200.0,600.0,31.389661755533325,200.0
17:15,1200.0,200.0,200.0,600.0,29.753646179777434,200.0
17:30,818.9943839305042,200.0,200.0,600.0,0.0,200.0
17:45,865.0532270003941,200.0,200.0,600.0,0.0,200.0
