,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,200.0,200.0,600.0,628.6976700286359,800.0
00:15,0.0,200.0,200.0,600.0,667.7671254695697,800.0
00:30,0.0,200.0,200.0,600.0,685.3687510332991,800.0
00:45,0.0,200.0,200.0,600.0,628.6166098503178,800.0
01:00,0.0,200.0,200.0,600.0,627.4766555907217,800.0
01:15,0.0,200.0,200.0,600.0,651.7722919892663,800.0
01:30,0.0,200.0,200.0,600.0,743.718684100581,800.0
01:45,0.0,200.0,200.0,600.0,661.9941625559734,800.0
02:00,0.0,200.0,200.0,600.0,628.2540939514402,800.0
02:15,0.0,200.0,200.0,600.0,628.6004361701216,800.0
02:30,0.0,200.0,200.0,600.0,646.4310750919321,800.0
02:45,0.0,200.0,200.0,600.0,695.3386790605322,800.0
03:00,0.0,200.0,200.0,600.0,664.2483554830756,800.0
03:15,0.0,200.0,200.0,600.0,680.894879524144,800.0
03:30,0.0,200.0,200.0,600.0,628.3439644105696,800.0
03:45,0.0,200.0,200.0,600.0,627.9060762415934,800.0
04:00,0.0,200.0,200.0,600.0,626.2300493825638,800.0
04:15,0.0,200.0,200.0,600.0,670.6871343049662,800.0
04:30,0.0,200.0,200.0,600.0,678.4879412231915,800.0
04:45,0.0,200.0,200.0,600.0,651.4083143191978,800.0
05:00,0.0,200.0,200.0,600.0,673.3292960576462,800.0
05:15,0.0,200.0,200.0,600.0,621.9235456764003,800.0
05:30,0.0,200.0,200.0,600.0,625.0215241432396,800.0
05:45,0.0,200.0,200.0,600.0,680.8346374663615,800.0
06:00,0.0,200.0,200.0,600.0,622.1394642317471,800.0
06:15,0.0,200.0,200.0,600.0,635.748210391682,800.0
06:30,0.0,200.0,200.0,600.0,633.1996045672834,800.0
06:45,0.0,200.0,200.0,600.0,594.6607676839471,800.0
07:00,0.0,200.0,200.0,600.0,594.0435394631476,800.0
07:15,0.0,200.0,200.0,600.0,633.9825263284391,800.0
07:30,0.0,200.0,200.0,600.0,619.9053221689883,800.0
07:45,0.0,200.0,200.0,600.0,615.7954505219261,800.0
08:00,0.0,200.0,200.0,600.0,559.1101307153905,800.0
08:15,0.0,200.0,200.0,600.0,594.1364206295506,800.0
08:30,0.0,200.0,200.0,600.0,657.1263458984963,800.0
08:45,0.0,200.0,200.0,600.0,563.264412954888,800.0
09:00,398.2493093626799,0.0,200.0,600.0,0.0,600.0
09:15,345.2841870401528,0.0,200.0,600.0,0.0,400.0
09:30,332.74283478019333,0.0,200.0,600.0,0.0,200.0
09:45,340.6556262026843,0.0,200.0,600.0,0.0,0.0
10:00,0.0,200.0,0.0,600.0,736.6923413663592,200.0
10:15,0.0,200.0,200.0,600.0,554.2141716895538,200.0
10:30,0.0,0.0,200.0,600.0,413.62047344705354,0.0
10:45,0.0,0.0,0.0,600.0,618.2714497462895,0.0
11:00,0.0,200.0,0.0,600.0,787.0643828991476,200.0
11:15,0.0,200.0,200.0,600.0,521.0323253708394,200.0
11:30,0.0,0.0,200.0,600.0,316.0953684222816,0.0
11:45,0.0,0.0,0.0,600.0,791.7914314431855,0.0
12:00,0.0,200.0,0.0,600.0,1517.1648232006632,200.0
12:15,0.0,200.0,200.0,600.0,1157.1708817018407,200.0
12:30,0.0,0.0,200.0,600.0,694.6490544037827,0.0
12:45,0.0,0.0,0.0,600.0,601.1809047381807,0.0
13:00,0.0,200.0,0.0,600.0,772.5947242817367,200.0
13:15,0.0,200.0,200.0,600.0,608.983235366813,200.0
13:30,0.0,200.0,200.0,600.0,555.9060443292623,200.0
13:45,0.0,200.0,200.0,600.0,563.6085142308938,200.0
14:00,0.0,0.0,200.0,600.0,358.3807889004514,0.0
14:15,0.0,0.0,0.0,600.0,676.5718682973766,0.0
14:30,0.0,0.0,0.0,600.0,646.7635788237785,0.0
14:45,0.0,200.0,0.0,600.0,751.8590656696637,200.0
15:00,0.0,0.0,200.0,600.0,382.17897611831404,0.0
15:15,0.0,200.0,0.0,600.0,792.6041268417802,200.0
15:30,0.0,200.0,200.0,600.0,567.114048981339,200.0
15:45,0.0,200.0,200.0,600.0,569.0497643590762,200.0
16:00,599.5082731542265,200.0,200.0,600.0,0.0,200.0
16:15,682.1112010271578,200.0,200.0,600.0,0.0,200.0
16:30,563.8482520775573,0.0,200.0,600.0,0.0,0.0
16:45,871.2894877546356,200.0,0.0,600.0,0.0,200.0
17:00,664.7896617555334,200.0,200.0,600.0,0.0,200.0
17:15,693.3536461797775,200.0,200.0,600.0,0.0,200.0
17:30,854.1943839305043,200.0,200.0,600.0,0.0,200.0
17:45,747.3532270003943,200.0,200.0,600.0,0.0,200.0
18:00,795.299168643447,200.0,200.0,600.0,0.0,200.0
18:15,447.2814716983946,0.0,200.0,600.0,0.0,0.0
18:30,683.3439346886861,0.0,0.0,600.0,0.0,0.0
18:45,699.6688413934861,0.0,0.0,600.0,0.0,0.0
19:00,720.7836844968626,0.0,0.0,600.0,0.0,0.0
19:15,772.6070108117576,0.0,0.0,600.0,0.0,0.0
19:30,731.1191702710288,0.0,0.0,600.0,0.0,0.0
19:45,708.4042217772844,0.0,0.0,600.0,0.0,0.0
20:00,0.0,200.0,0.0,600.0,962.5966207694742,200.0
20:15,0.0,200.0,200.0,600.0,1634.5491096411529,200.0
20:30,0.0,0.0,200.0,600.0,831.6094981522053,0.0
20:45,0.0,0.0,0.0,600.0,853.7082943175715,0.0
21:00,0.0,200.0,0.0,600.0,863.8423571718954,200.0
21:15,0.0,200.0,200.0,600.0,726.5730896622416,200.0
21:30,0.0,0.0,200.0,600.0,1129.347672943134,0.0
21:45,0.0,0.0,0.0,600.0,1310.739231400971,0.0
22:00,0.0,200.0,0.0,600.0,1008.3575199824709,200.0
22:15,0.0,0.0,200.0,600.0,711.0175362632591,0.0
22:30,0.0,0.0,0.0,600.0,645.9588380180035,0.0
22:45,0.0,0.0,0.0,600.0,742.4238672922437,0.0
23:00,0.0,200.0,0.0,600.0,864.5797447540258,200.0
23:15,0.0,0.0,200.0,600.0,427.27721567014385,0.0
23:30,0.0,0.0,0.0,600.0,626.6263917597687,0.0
23:45,0.0,0.0,0.0,600.0,660.6789248445048,0.0
