,Diesel power consumption,Input to storage,Output from storage,Energy sold,Energy bought,Storage capacity
00:00,0.0,200.0,200.0,600.0,633.5976700286359,800.0
00:15,0.0,200.0,200.0,600.0,632.9671254695697,800.0
00:30,0.0,200.0,200.0,600.0,643.268751033299,800.0
00:45,0.0,200.0,200.0,600.0,661.7166098503178,800.0
01:00,0.0,200.0,200.0,600.0,632.1766555907218,800.0
01:15,0.0,200.0,200.0,600.0,633.4722919892663,800.0
01:30,0.0,200.0,200.0,600.0,675.818684100581,800.0
01:45,0.0,200.0,200.0,600.0,673.2941625559733,800.0
02:00,0.0,200.0,200.0,600.0,710.8540939514402,800.0
02:15,0.0,200.0,200.0,600.0,660.3004361701217,800.0
02:30,0.0,200.0,200.0,600.0,704.8310750919321,800.0
02:45,0.0,200.0,200.0,600.0,675.8386790605322,800.0
03:00,0.0,200.0,200.0,600.0,696.0483554830755,800.0
03:15,0.0,200.0,200.0,600.0,669.094879524144,800.0
03:30,0.0,200.0,200.0,600.0,633.2439644105696,800.0
03:45,0.0,200.0,200.0,600.0,654.0060762415933,800.0
04:00,0.0,200.0,200.0,600.0,676.4300493825638,800.0
04:15,0.0,200.0,200.0,600.0,683.4871343049663,800.0
04:30,0.0,200.0,200.0,600.0,630.7879412231915,800.0
04:45,0.0,200.0,200.0,600.0,671.6083143191977,800.0
05:00,0.0,200.0,200.0,600.0,654.8292960576462,800.0
05:15,0.0,200.0,200.0,600.0,712.8235456764003,800.0
05:30,0.0,200.0,200.0,600.0,696.1215241432396,800.0
05:45,0.0,200.0,200.0,600.0,622.6346374663616,800.0
06:00,0.0,200.0,200.0,600.0,611.1394642317471,800.0
06:15,0.0,200.0,200.0,600.0,627.648210391682,800.0
06:30,0.0,200.0,200.0,600.0,736.2996045672834,800.0
06:45,0.0,200.0,200.0,600.0,686.6607676839471,800.0
07:00,0.0,200.0,200.0,600.0,613.7435394631475,800.0
07:15,0.0,200.0,200.0,600.0,663.9825263284391,800.0
07:30,0.0,200.0,200.0,600.0,680.4053221689883,800.0
07:45,0.0,200.0,200.0,600.0,767.8954505219261,800.0
08:00,0.0,200.0,200.0,600.0,1062.1101307153906,800.0
08:15,0.0,200.0,200.0,0.0,1536.7364206295506,800.0
08:30,0.0,200.0,200.0,600.0,641.4263458984963,800.0
08:45,0.0,200.0,200.0,600.0,604.164412954888,800.0
09:00,1039.3493093626798,0.0,200.0,600.0,0.0,600.0
09:15,895.6841870401527,0.0,200.0,600.0,0.0,400.0
09:30,1200.0,0.0,200.0,600.0,508.34283478019347,200.0
09:45,1099.6556262026843,0.0,200.0,600.0,0.0,0.0
10:00,0.0,200.0,0.0,600.0,883.1923413663592,200.0
10:15,0.0,200.0,200.0,600.0,707.1141716895538,200.0
10:30,0.0,0.0,200.0,600.0,518.3204734470535,0.0
10:45,0.0,0.0,0.0,600.0,634.5714497462895,0.0
11:00,0.0,200.0,0.0,600.0,814.7643828991477,200.0
11:15,0.0,200.0,200.0,600.0,580.1323253708395,200.0
11:30,0.0,0.0,200.0,600.0,349.39536842228154,0.0
11:45,0.0,0.0,0.0,600.0,600.2914314431855,0.0
12:00,0.0,200.0,0.0,600.0,913.7648232006633,200.0
12:15,0.0,200.0,200.0,600.0,682.9708817018407,200.0
12:30,0.0,0.0,200.0,600.0,377.9490544037826,0.0
12:45,0.0,0.0,0.0,600.0,591.8809047381808,0.0
13:00,0.0,200.0,0.0,600.0,764.1947242817367,200.0
13:15,0.0,200.0,200.0,600.0,589.683235366813,200.0
13:30,0.0,200.0,200.0,600.0,592.9060443292622,200.0
13:45,0.0,200.0,200.0,600.0,656.7085142308938,200.0
14:00,0.0,0.0,200.0,600.0,398.7807889004514,0.0
14:15,0.0,0.0,0.0,600.0,596.5718682973765,0.0
14:30,0.0,0.0,0.0,600.0,656.7635788237785,0.0
14:45,0.0,200.0,0.0,600.0,860.4590656696637,200.0
15:00,0.0,0.0,200.0,600.0,1094.878976118314,0.0
15:15,0.0,200.0,0.0,600.0,1595.2041268417802,200.0
15:30,0.0,200.0,200.0,600.0,664.114048981339,200.0
15:45,0.0,200.0,200.0,600.0,927.5497643590761,200.0
16:00,677.8082731542265,200.0,200.0,600.0,0.0,200.0
16:15,806.3112010271578,200.0,200.0,600.0,0.0,200.0
16:30,608.4482520775573,0.0,200.0,600.0,0.0,0.0
16:45,1200.0,200.0,0.0,600.0,104.98948775463577,200.0
17:00,1180.1896617555335,200.0,200.0,600.0,0.0,200.0
17:15,1085.8536461797773,200.0,200.0,600.0,0.0,200.0
17:30,926.6943839305043,200.0,200.0,600.0,0.0,200.0
17:45,880.1532270003943,200.0,200.0,600.0,0.0,200.0
18:00,932.899168643447,200.0,200.0,600.0,0.0,200.0
18:15,661.2814716983946,0.0,200.0,600.0,0.0,0.0
18:30,915.4439346886861,0.0,0.0,600.0,0.0,0.0
18:45,883.1688413934861,0.0,0.0,600.0,0.0,0.0
19:00,836.0836844968626,0.0,0.0,600.0,0.0,0.0
19:15,859.2070108117575,0.0,0.0,600.0,0.0,0.0
19:30,852.2191702710288,0.0,0.0,600.0,0.0,0.0
19:45,883.5042217772844,0.0,0.0,600.0,0.0,0.0
20:00,0.0,200.0,0.0,600.0,1150.5966207694742,200.0
20:15,0.0,200.0,200.0,600.0,961.649109641153,200.0
20:30,0.0,0.0,200.0,600.0,727.9094981522054,0.0
20:45,0.0,0.0,0.0,600.0,1028.1082943175716,0.0
21:00,0.0,200.0,0.0,600.0,1216.4423571718953,200.0
21:15,0.0,200.0,200.0,600.0,1119.2730896622415,200.0
21:30,0.0,0.0,200.0,600.0,804.0476729431342,0.0
21:45,0.0,0.0,0.0,600.0,1198.1392314009709,0.0
22:00,0.0,200.0,0.0,600.0,1109.557519982471,200.0
22:15,0.0,0.0,200.0,600.0,636.7175362632591,0.0
22:30,0.0,0.0,0.0,600.0,889.5588380180035,0.0
22:45,0.0,0.0,0.0,600.0,945.4238672922436,0.0
23:00,0.0,200.0,0.0,600.0,1034.979744754026,200.0
23:15,0.0,0.0,200.0,600.0,1384.777215670144,0.0
23:30,0.0,0.0,0.0,600.0,1300.6263917597687,0.0
23:45,0.0,0.0,0.0,600.0,855.6789248445048,0.0
